id,name,username,age,dob,email,phone,library,favorites,payment_method,country,total_hrs_played,avg_rating_given
221d6529-9937-4672-8,Dakota Carroll,dakotacarroll816,31,1993-04-10,dakotacarroll816@gmail.com,(03)01461510,"66,540,482,752,463",463,PayPal,Australia,118.78,87.5
4e3234a4-db00-41ea-9,Timothée du Riou,timothéeduriou659,30,1994-05-14,timothéeduriou659@outlook.com,0634795820,"334,411,489,205,234,608,21,485,310,164","164,205,411",Debit Card,France,399.12,61.6
4395cd06-b8c1-4dc2-b,Floortje Zwart,floortjezwart83,23,2001-04-18,floortjezwart83@outlook.com,0308400947,"149,635,543,11,688,183","149,11,635",Credit Card,Netherlands,676.99,90.2
553937cd-3868-41a2-a,Austin Miller,austinmiller273,16,2008-10-21,austinmiller273@yahoo.com,1(427)2492261,"694,43,901,837,331,872,507,336,535,714","694,331,837",Google Pay,Canada,711.42,54.3
2d8042f2-c2e5-4fb1-a,Emiliano Florencia Lucio Salinas,emilianoflorencialuciosalinas823,23,2001-08-26,emilianoflorencialuciosalinas823@hotmail.com,9675306462x1705,"8,725,660,314,345","660,345,314",Google Pay,Mexico,834.66,88.6
2a49c00e-b31a-4ce6-8,Heather Reed,heatherreed640,23,2001-07-15,heatherreed640@gmail.com,+441134960271,"858,650,370,182,229","858,229",Credit Card,United Kingdom,137.54,73.8
12393b3b-bff5-4649-9,Espiridión Barriga-Tolosa,espiridiónbarriga-tolosa232,18,2006-10-15,espiridiónbarriga-tolosa232@hotmail.com,+34946858480,"54,844,298,804,540,754","298,540",Credit Card,Spain,608.69,87.3
ed02ddf2-e61d-4624-8,Ulf Lindell,ulflindell172,28,1996-07-03,ulflindell172@icloud.com,029997087,"866,216","866,216",Google Pay,Sweden,480.21,52.6
821ac57e-97ad-40f0-b,Sheila Gonzalez,sheilagonzalez366,29,1995-01-26,sheilagonzalez366@icloud.com,(756)3787971,"5,887,437,806,96,539,431,596,610,759","437,596,539",Bank Transfer,United States,742.51,56.1
85845571-201f-4158-8,Abel Heredia Alonso,abelherediaalonso108,21,2003-06-17,abelherediaalonso108@gmail.com,+34846446641,"516,135,127","516,127,135",Google Pay,Spain,695.99,54.6
392e7dfc-ae1e-4c10-8,Flavia Catalano,flaviacatalano158,32,1992-03-14,flaviacatalano158@yahoo.com,05744169142,"529,357,747",529,Epic Wallet,Italy,192.3,97.3
39065afc-bd55-4c24-9,Aimee Jones,aimeejones513,23,2001-04-16,aimeejones513@outlook.com,+44(0)118496075,"692,794,576,577,164,800,667","577,794,667",Epic Wallet,United Kingdom,349.34,57.9
0a98693d-e841-4fef-8,Dott. Carolina Zacco,dott.carolinazacco223,23,2001-01-04,dott.carolinazacco223@outlook.com,0809735817,"666,165,168,188,465,302,100,1,400,687",465,Apple Pay,Italy,305.1,89.5
2ad797af-03dd-4dd0-8,송민서,송민서333,22,2002-10-08,송민서333@icloud.com,0316534215,"611,45,284,647,550,698,377","377,647,550",Apple Pay,South Korea,560.74,79.3
1e855c37-f322-41c7-b,Rishi Bhattacharyya,rishibhattacharyya38,27,1997-12-01,rishibhattacharyya38@gmail.com,07174166490,"330,100,679,63,204,40,449,362,180","204,330",Credit Card,India,516.95,69.2
