ID,Name,Country,Type_of_Content,Average_Views,Revenue,Primary_Game
aadver0drxdnopibbjyxr1qnjnil0pff,Derek Newman,United States,Short Form,36089,3.77,Of Bird And Cage
9efvbrevrsjrn54myz0ksboamrvzpq6o,Eva Lundström,Sweden,Short Form,8531576,2916.49,Evan's Remains
5c8evrbcrevohk7h09bctb8z5nicmle1,Gina Barnes,United States,Short Form,93409,19.56,HITMAN - Game of the Year Edition
rk1mpla10ib26pzezw5448m46h4ah5kt,Miss Jane Ford,United Kingdom,Blogger,250074,48.27,Assassin’s Creed® Valhalla + Immortals Fenyx Rising™ Bundle
m86o2gsx9oa2eo4cytn8pla2q7lkbvxs,Michelle van Beek,Netherlands,LiveStreamer,24494,6.15,Mutazione
i22nv01zderi4k5ogz2ueaxylnfxj4pn,Ashley Landry,United States,Short Form,538947,119.48,The Tenants
ospe14ot4fpuh7znjzhobhgs59ymzy6e,Sandra Nilsson,Sweden,Short Form,19894,2.38,Steep Standard Edition
3qxmg624luhj0nvon15oqo3zmb8l14qk,Elliott Hall,United Kingdom,Short Form,9777,0.74,Carcassonne
b7iyk3luadh8tnyod1ct33ruq5zj74f4,Darren Pham,United States,Short Form,60935,12.54,OVERPASS™
el8svox6so2d0cfiz17ybex3y5ix6tuk,Choi Soo-jin,South Korea,Long Form,926927,147.93,Riders Republic
oxdxlgh9zcoyw7vxka220zmmy7cjmc2x,Gregory Harrell,United States,Short Form,43703,17.38,Narita Boy
kr1tfepz614umnweprs82gj8k8c9g3rt,Timothée Chrétien,France,Short Form,184608,33.03,ZEN Triple RPG Bundle
91d35i9x4nm3a2gagph0rnwk1s2aka9b,Takahashi Kaori,Japan,Long Form,14319,2.82,RemiLore: Lost Girl in the Lands of Lore
w5r1f5bf7ptihwuy0cdabyn5fo9sw23y,Kang Ji-hoon,South Korea,LiveStreamer,174118,40.06,Aeon Must Die!
949o8vswskvzk75j99r8or6negwqkbij,Wanda Harris,United States,LiveStreamer,206492,150.47,Trackmania
5k0w9g868ieyk1nyn0sjyn8almsywr2n,Han Hye-jin,South Korea,Blogger,887550,153.52,Universe Sandbox
n82ijw95mz08n0xcs16ahanmvtvoav41,Gavin Ram,India,Short Form,3119,0.54,Where Cards Fall
a4uknybycxb08xow491qc41j2pvogt1s,Dr Bethany Hayes,United Kingdom,LiveStreamer,346064,111.98,Windbound
7qsx3zywpgposj5fi7i979klcq08k07q,Maria Cecília Andrade,Brazil,LiveStreamer,5412,1.41,Centipede: Recharged
xa6s0jeckou0hyo3hi0x5frzuun6xgyt,Jai Sen,India,Short Form,3239,0.17,RiMS Racing
z5xtebi7t9p2jmw6i4haptd5g1q7nm5c,Bartek Michnik,Poland,LiveStreamer,27533,5.64,Blasphemous
e2pb9u8cgrwmtagsbd6t2zgnitztty3p,Matías Alarcón Pagès,Spain,Short Form,186850,34.93,Atomicrops
kg727nk81tnagnidp3ldjd1xbdyqixyc,Jacek Gęsiarz,Poland,Blogger,3842391,452.11,Darkest Dungeon II
rwmoegpcp03yys14imd01n1t7nrqh4s0,Silvio Puerta Valbuena,Spain,Short Form,1780783,268.84,Total War: WARHAMMER
h5tcttifyzq7cymbmpfnj3vqb6u0wgnz,Hanna Bärer,Germany,Long Form,231548,82.83,Mutant Year Zero: Road to Eden
hiwzwt994pn8qix43irgm5dkoybesirq,Gavin Kay,United Kingdom,Short Form,416103,40.31,Automachef
exmo42fzilyfv63rx3u9e9l54iwwffqe,Kenneth Walters DDS,United States,Blogger,124927,20.04,Prey
r1v9npuqarymmdngwy7d78hwk22m9rwv,Terry Coffey,United States,Blogger,94319,32.76,Breakout: Recharged
9n8ovlgyb5ycoz6js5yy3233uxoctgus,Kobayashi Akira,Japan,Blogger,7277,1.32,ARK: Survival Evolved
5s6y5h3o0sw58611gqit8d9gx2hivdts,Anita Perera Gomez,Spain,Short Form,15667,1.1,Anno 2070
3gg86vecfg1hqga5tzk8rn2w3mnv2kf2,Lynn Bennett,United States,Short Form,180072,34.98,LEGO® Batman™ 2: DC Super Heroes
d0p4775b5nov31nyc7h81jmbptpdwr1x,Dr. Benjamim da Paz,Brazil,Long Form,10345,2.94,Against the Storm
7ip31oosp3t5gut6vb6ap3k42ore6uyp,Óscar Uriarte Carbonell,Spain,Long Form,541782,182.56,Hellpoint
bu2uinunkbntftk9775xi0t4dhfcf0af,James Miller,Australia,Blogger,17752,1.31,Mount & Blade II: Bannerlord
us6qpwhtyzjpiyfa5mkcc0450xtxoqdv,Waida Gole,India,Blogger,376536,73.19,Universe Sandbox
9own0d8a7a5q2x5d8hf6jqneks810tz2,Ricky Watkins-Shaw,United Kingdom,Short Form,29873,10.95,Valiant Hearts: The Great War
bh2ov8exrt43zbsyb7u1gi7iou8n10q3,Dr Raymond Lamb,United Kingdom,Long Form,8936346,2170.19,Superliminal
i7zxap85xfx65uau5ogtw3a0rlqopp9d,Maya Sousa,Brazil,LiveStreamer,45032,16.53,ZOMBI
3uwlcv8fonoum4eizri570wdvyr614dp,Manuel Viñas Carnero,Spain,Short Form,64806,17.46,Drone Racing League®
szrx0zeor8kshk4rqsflqs2i1br4ye5g,Mitesh Lala,India,Blogger,1961725,312.77,Shady Part of Me
dkdkovjl21dv63wcesjynz3hz3vnap88,Kian van Berkel-Olykan,Netherlands,LiveStreamer,40363,20.08,The Talos Principle
ld1rzjossgdzmtnnpxa9z381kjiebogm,Olga Scheuermann-Ullmann,Germany,Blogger,117295,15.17,Chivalry 2
vulemx15z8vmuhxid4n1u3493wxa73jg,Gloria Paredes-Gimenez,Spain,Blogger,234209,13.42,Bee Simulator
qm3p91i3vmzwffhhcmktlzkj49yd8279,Catherine Menard,France,Long Form,221940,53.16,DAEMON X MACHINA
2wzfikr41ikjnc8wm7rbxp2iu4cp9mom,Greta Engström,Sweden,Long Form,5886,1.68,Rage 2
55zeoch0p6fugzudsxscfo5jsvcsg60t,Takahashi Kaori,Japan,LiveStreamer,738991,238.11,Far Cry
l9cv66e13dhfm9xu4tybd9ms8nt7i8d7,Ito Akira,Japan,Short Form,127761,10.32,Costume Quest 2
xevrhwtd64xqhmqxdk65qwbekmsustri,Ágata Tejera-Arnaiz,Spain,Short Form,213976,40.73,The Vanishing of Ethan Carter
y5wggrh6dru24o3vh3izadh6sopblods,Ian Hayward,United Kingdom,Long Form,11791,3.94,Blair Witch
qrmrl1svv8i3u48fjkdrexsc05j6i7qe,Hanna Haase-Krein,Germany,LiveStreamer,30422,11.45,King's Bounty II
sujo5gufm64atn3vauknvpowd2gw767a,Shirley Mooney,United States,LiveStreamer,37242,14.26,EVE Online
t05sutg2gw85lfh3v6inoze864oezo3p,Robin Karlsson,Sweden,LiveStreamer,11586,5.17,League of Legends
qwbosyy3g535i7rfotroo7fbcjy136ls,Aishani Tara,India,LiveStreamer,115241,35.14,Dice Legacy
bul5d0lorxhyduzyr9fwji9qqgvo3wsn,Georgina Robinson,United Kingdom,Long Form,794299,146.52,Scott Pilgrim vs. The World: The Game – Complete Edition
lamjeqbfmindme6p5qdhngeoxplw85gl,Ing. Ellen Lindner MBA.,Germany,Blogger,106480,9.09,Zombie Army 4: Dead War
8x9uvgeus6iolqh1qru62152deofemmf,Susan Walker,United Kingdom,LiveStreamer,47735,30.56,Horizon Zero Dawn™ Complete Edition
1dm78ui5mgab1w1hgw5f6y1nm7935krn,Kang Dong-hyun,South Korea,Short Form,193227,43.96,Necromunda: Hired Gun
y5o44iusexu1srdv1l30307hdhjo5ctz,Taylor Silva,United States,Short Form,2895177,852.92,Star Renegades
o9vcezrlxmv2z9pwq7f139fx1pajehxr,Laure de Toussaint,France,Blogger,41202,4.51,Insurgency: Sandstorm - Mod Tools & Editor
312a0wnc6cedhafs40nnszyi5eqth7sg,Guntram Siering,Germany,Blogger,535515,48.7,Mafia III: Definitive Edition
m8ru8kqar78eezi3m9tr52h4btz82p4u,Miss Julia Collins,United Kingdom,Short Form,66311,20.54,Ancestors: The Humankind Odyssey
7v1cvs0qlmxcfxmguk60g02yl8wck7kc,Ito Yumi,Japan,Long Form,457209,103.22,Freedom Fighters
lagydwiaq4pheno0wv9khs3pw99x2x55,Choi Min-jun,South Korea,Short Form,72497,4.78,Spiritfarer®: Farewell Edition
